Date,Student ID,Coming Today?,Today's Bus Number,Today's Pickup Stop,Pickup Status,Boarded Bus?,Attendance Status,Last Updated
2026-07-29,CTU1023,YES,BUS-01,Dhakoli,WAITING,NO,PENDING,07:10 AM
2026-07-29,CTU1024,YES,BUS-01,Dhakoli,PICKED UP,YES,PRESENT,07:57 AM
2026-07-29,CTU1025,YES,BUS-01,Dhakoli,PICKED UP,YES,PRESENT,07:12 AM
2026-07-29,CTU1026,YES,BUS-01,Baltana,WAITING,NO,PENDING,07:35 AM
2026-07-29,CTU1027,YES,BUS-01,Baltana,WAITING,NO,PENDING,07:43 AM
2026-07-29,CTU1028,YES,BUS-01,VIP Road,PICKED UP,YES,PRESENT,07:29 AM
2026-07-29,CTU1029,YES,BUS-01,Baltana,WAITING,NO,PENDING,07:19 AM
2026-07-29,CTU1030,YES,BUS-01,VIP Road,WAITING,NO,PENDING,07:24 AM
2026-07-29,CTU1031,YES,BUS-01,VIP Road,WAITING,NO,PENDING,07:49 AM
2026-07-29,CTU1032,YES,BUS-01,Dhakoli,PICKED UP,YES,PRESENT,07:08 AM
2026-07-29,CTU1033,YES,BUS-01,Dhakoli,WAITING,NO,PENDING,07:00 AM
2026-07-29,CTU1034,YES,BUS-01,VIP Road,PICKED UP,YES,PRESENT,07:46 AM
2026-07-29,CTU1035,YES,BUS-01,Baltana,WAITING,NO,PENDING,07:43 AM
2026-07-29,CTU1036,YES,BUS-01,Dhakoli,WAITING,NO,PENDING,07:26 AM
2026-07-29,CTU1037,YES,BUS-01,Baltana,PICKED UP,YES,PRESENT,07:30 AM
2026-07-29,CTU1038,NO,,,NOT COMING,NO,ABSENT,07:18 AM
2026-07-29,CTU1039,YES,BUS-01,Dhakoli,PICKED UP,YES,PRESENT,07:07 AM
2026-07-29,CTU1040,YES,BUS-01,VIP Road,WAITING,NO,PENDING,07:51 AM
2026-07-29,CTU1041,YES,BUS-01,Baltana,WAITING,NO,PENDING,07:27 AM
2026-07-29,CTU1042,YES,BUS-01,Baltana,WAITING,NO,PENDING,07:41 AM
2026-07-29,CTU1043,YES,BUS-01,VIP Road,PICKED UP,YES,PRESENT,07:00 AM
2026-07-29,CTU1044,YES,BUS-02,Dhakoli,PICKED UP,YES,PRESENT,07:46 AM
2026-07-29,CTU1045,YES,BUS-02,Dhakoli,PICKED UP,YES,PRESENT,07:58 AM
2026-07-29,CTU1046,NO,,,NOT COMING,NO,ABSENT,07:13 AM
2026-07-29,CTU1047,NO,,,NOT COMING,NO,ABSENT,07:32 AM
2026-07-29,CTU1048,YES,BUS-02,Dhakoli,WAITING,NO,PENDING,07:40 AM
2026-07-29,CTU1049,YES,BUS-02,Baltana,WAITING,NO,PENDING,07:26 AM
2026-07-29,CTU1050,YES,BUS-02,Patiala Road,PICKED UP,YES,PRESENT,07:27 AM
2026-07-29,CTU1051,YES,BUS-02,Baltana,PICKED UP,YES,PRESENT,07:34 AM
2026-07-29,CTU1052,YES,BUS-02,Baltana,WAITING,NO,PENDING,07:22 AM
2026-07-29,CTU1053,YES,BUS-02,Dhakoli,WAITING,NO,PENDING,07:42 AM
2026-07-29,CTU1054,YES,BUS-02,Baltana,PICKED UP,YES,PRESENT,07:44 AM
2026-07-29,CTU1055,YES,BUS-02,Dhakoli,WAITING,NO,PENDING,07:00 AM
2026-07-29,CTU1056,YES,BUS-02,Baltana,WAITING,NO,PENDING,07:30 AM
2026-07-29,CTU1057,YES,BUS-02,Dhakoli,WAITING,NO,PENDING,07:44 AM
2026-07-29,CTU1058,YES,BUS-02,Patiala Road,PICKED UP,YES,PRESENT,07:49 AM
2026-07-29,CTU1059,YES,BUS-02,Baltana,PICKED UP,YES,PRESENT,07:08 AM
2026-07-29,CTU1060,YES,BUS-02,Baltana,WAITING,NO,PENDING,07:11 AM
2026-07-29,CTU1061,YES,BUS-02,Patiala Road,PICKED UP,YES,PRESENT,07:27 AM
2026-07-29,CTU1062,YES,BUS-02,Patiala Road,WAITING,NO,PENDING,07:02 AM
2026-07-29,CTU1063,YES,BUS-02,Patiala Road,PICKED UP,YES,PRESENT,07:27 AM
2026-07-29,CTU1064,YES,BUS-02,Patiala Road,WAITING,NO,PENDING,07:50 AM
2026-07-29,CTU1065,YES,BUS-02,Patiala Road,PICKED UP,YES,PRESENT,07:46 AM
2026-07-29,CTU1066,YES,BUS-02,Dhakoli,WAITING,NO,PENDING,07:05 AM
2026-07-29,CTU1067,YES,BUS-02,Baltana,WAITING,NO,PENDING,07:40 AM
2026-07-29,CTU1068,YES,BUS-02,Patiala Road,PICKED UP,YES,PRESENT,07:10 AM
2026-07-29,CTU1069,YES,BUS-02,Dhakoli,PICKED UP,YES,PRESENT,07:23 AM
2026-07-29,CTU1070,YES,BUS-02,Patiala Road,WAITING,NO,PENDING,07:24 AM
2026-07-29,CTU1071,YES,BUS-02,Baltana,WAITING,NO,PENDING,07:20 AM
2026-07-29,CTU1072,YES,BUS-02,Dhakoli,PICKED UP,YES,PRESENT,07:09 AM
2026-07-29,CTU1073,YES,BUS-02,Dhakoli,WAITING,NO,PENDING,07:21 AM
2026-07-29,CTU1074,YES,BUS-02,Patiala Road,PICKED UP,YES,PRESENT,07:24 AM
2026-07-29,CTU1075,YES,BUS-02,Patiala Road,WAITING,NO,PENDING,07:12 AM
2026-07-29,CTU1076,YES,BUS-02,Patiala Road,WAITING,NO,PENDING,07:48 AM
2026-07-29,CTU1077,YES,BUS-02,Dhakoli,PICKED UP,YES,PRESENT,07:58 AM
2026-07-29,CTU1078,YES,BUS-02,Baltana,PICKED UP,YES,PRESENT,07:13 AM
2026-07-29,CTU1079,YES,BUS-02,Dhakoli,WAITING,NO,PENDING,07:16 AM
2026-07-29,CTU1080,YES,BUS-02,Dhakoli,PICKED UP,YES,PRESENT,07:49 AM
2026-07-29,CTU1081,YES,BUS-02,Dhakoli,PICKED UP,YES,PRESENT,07:26 AM
2026-07-29,CTU1082,NO,,,NOT COMING,NO,ABSENT,07:26 AM
2026-07-29,CTU1083,YES,BUS-02,Patiala Road,WAITING,NO,PENDING,07:16 AM
2026-07-29,CTU1084,YES,BUS-02,Patiala Road,WAITING,NO,PENDING,07:00 AM
2026-07-29,CTU1085,YES,BUS-02,Dhakoli,WAITING,NO,PENDING,07:11 AM
2026-07-29,CTU1086,YES,BUS-02,Dhakoli,WAITING,NO,PENDING,07:12 AM
2026-07-29,CTU1087,YES,BUS-03,Airport Road,WAITING,NO,PENDING,07:17 AM
2026-07-29,CTU1088,YES,BUS-03,Airport Road,WAITING,NO,PENDING,07:25 AM
2026-07-29,CTU1089,YES,BUS-03,Airport Road,PICKED UP,YES,PRESENT,07:26 AM
2026-07-29,CTU1090,YES,BUS-03,Phase 10,PICKED UP,YES,PRESENT,07:02 AM
2026-07-29,CTU1091,YES,BUS-03,Phase 10,PICKED UP,YES,PRESENT,07:12 AM
2026-07-29,CTU1092,YES,BUS-03,Airport Road,PICKED UP,YES,PRESENT,07:46 AM
2026-07-29,CTU1093,YES,BUS-03,Phase 7,WAITING,NO,PENDING,07:23 AM
2026-07-29,CTU1094,YES,BUS-03,Phase 7,WAITING,NO,PENDING,07:37 AM
2026-07-29,CTU1095,YES,BUS-03,Airport Road,PICKED UP,YES,PRESENT,07:25 AM
2026-07-29,CTU1096,YES,BUS-03,Phase 10,PICKED UP,YES,PRESENT,07:07 AM
2026-07-29,CTU1097,YES,BUS-03,Phase 7,WAITING,NO,PENDING,07:12 AM
2026-07-29,CTU1098,YES,BUS-03,Phase 7,PICKED UP,YES,PRESENT,07:32 AM
2026-07-29,CTU1099,YES,BUS-03,Phase 7,WAITING,NO,PENDING,07:04 AM
2026-07-29,CTU1100,YES,BUS-03,Phase 7,PICKED UP,YES,PRESENT,07:14 AM
2026-07-29,CTU1101,YES,BUS-03,Phase 10,WAITING,NO,PENDING,07:45 AM
2026-07-29,CTU1102,YES,BUS-03,Phase 10,WAITING,NO,PENDING,07:15 AM
2026-07-29,CTU1103,YES,BUS-03,Phase 10,WAITING,NO,PENDING,07:16 AM
2026-07-29,CTU1104,YES,BUS-03,Airport Road,WAITING,NO,PENDING,07:53 AM
2026-07-29,CTU1105,YES,BUS-03,Phase 10,WAITING,NO,PENDING,07:21 AM
2026-07-29,CTU1106,NO,,,NOT COMING,NO,ABSENT,07:05 AM
2026-07-29,CTU1107,YES,BUS-03,Airport Road,PICKED UP,YES,PRESENT,07:10 AM
2026-07-29,CTU1108,YES,BUS-03,Phase 10,WAITING,NO,PENDING,07:41 AM
2026-07-29,CTU1109,YES,BUS-03,Phase 7,PICKED UP,YES,PRESENT,07:16 AM
2026-07-29,CTU1110,YES,BUS-03,Airport Road,PICKED UP,YES,PRESENT,07:56 AM
2026-07-29,CTU1111,YES,BUS-03,Airport Road,PICKED UP,YES,PRESENT,07:34 AM
2026-07-29,CTU1112,YES,BUS-03,Phase 7,WAITING,NO,PENDING,07:39 AM
2026-07-29,CTU1113,YES,BUS-03,Phase 10,WAITING,NO,PENDING,07:07 AM
2026-07-29,CTU1114,YES,BUS-03,Phase 7,WAITING,NO,PENDING,07:31 AM
2026-07-29,CTU1115,YES,BUS-03,Airport Road,WAITING,NO,PENDING,07:24 AM
2026-07-29,CTU1116,YES,BUS-03,Airport Road,PICKED UP,YES,PRESENT,07:29 AM
2026-07-29,CTU1117,YES,BUS-03,Airport Road,WAITING,NO,PENDING,07:27 AM
2026-07-29,CTU1118,YES,BUS-03,Phase 7,PICKED UP,YES,PRESENT,07:32 AM
2026-07-29,CTU1119,YES,BUS-03,Airport Road,PICKED UP,YES,PRESENT,07:27 AM
2026-07-29,CTU1120,NO,,,NOT COMING,NO,ABSENT,07:38 AM
2026-07-29,CTU1121,YES,BUS-03,Airport Road,PICKED UP,YES,PRESENT,07:58 AM
2026-07-29,CTU1122,YES,BUS-03,Airport Road,PICKED UP,YES,PRESENT,07:00 AM
2026-07-29,CTU1123,YES,BUS-03,Phase 7,WAITING,NO,PENDING,07:31 AM
2026-07-29,CTU1124,YES,BUS-03,Airport Road,PICKED UP,YES,PRESENT,07:00 AM
2026-07-29,CTU1125,YES,BUS-03,Phase 7,WAITING,NO,PENDING,07:06 AM
2026-07-29,CTU1126,YES,BUS-03,Phase 10,WAITING,NO,PENDING,07:03 AM
2026-07-29,CTU1127,YES,BUS-03,Phase 7,WAITING,NO,PENDING,07:44 AM
2026-07-29,CTU1128,YES,BUS-03,Phase 7,PICKED UP,YES,PRESENT,07:08 AM
2026-07-29,CTU1129,YES,BUS-03,Airport Road,WAITING,NO,PENDING,07:31 AM
2026-07-29,CTU1130,YES,BUS-04,Sector 43,WAITING,NO,PENDING,07:36 AM
2026-07-29,CTU1131,YES,BUS-04,Sector 17,WAITING,NO,PENDING,07:52 AM
2026-07-29,CTU1132,YES,BUS-04,Sector 22,PICKED UP,YES,PRESENT,07:03 AM
2026-07-29,CTU1133,NO,,,NOT COMING,NO,ABSENT,07:53 AM
2026-07-29,CTU1134,YES,BUS-04,Sector 22,PICKED UP,YES,PRESENT,07:54 AM
2026-07-29,CTU1135,YES,BUS-04,Sector 17,WAITING,NO,PENDING,07:06 AM
2026-07-29,CTU1136,YES,BUS-04,Sector 43,WAITING,NO,PENDING,07:49 AM
2026-07-29,CTU1137,YES,BUS-04,Sector 22,PICKED UP,YES,PRESENT,07:19 AM
2026-07-29,CTU1138,YES,BUS-04,Sector 43,PICKED UP,YES,PRESENT,07:34 AM
2026-07-29,CTU1139,YES,BUS-04,Sector 43,WAITING,NO,PENDING,07:21 AM
2026-07-29,CTU1140,YES,BUS-04,Sector 22,WAITING,NO,PENDING,07:08 AM
2026-07-29,CTU1141,YES,BUS-04,Sector 17,PICKED UP,YES,PRESENT,07:48 AM
2026-07-29,CTU1142,YES,BUS-04,Sector 22,PICKED UP,YES,PRESENT,07:36 AM
2026-07-29,CTU1143,YES,BUS-04,Sector 17,PICKED UP,YES,PRESENT,07:31 AM
2026-07-29,CTU1144,YES,BUS-04,Sector 43,PICKED UP,YES,PRESENT,07:46 AM
2026-07-29,CTU1145,NO,,,NOT COMING,NO,ABSENT,07:15 AM
2026-07-29,CTU1146,YES,BUS-04,Sector 17,PICKED UP,YES,PRESENT,07:51 AM
2026-07-29,CTU1147,YES,BUS-04,Sector 17,PICKED UP,YES,PRESENT,07:41 AM
2026-07-29,CTU1148,YES,BUS-04,Sector 43,WAITING,NO,PENDING,07:43 AM
2026-07-29,CTU1149,YES,BUS-04,Sector 22,PICKED UP,YES,PRESENT,07:17 AM
2026-07-29,CTU1150,YES,BUS-04,Sector 17,PICKED UP,YES,PRESENT,07:57 AM
2026-07-29,CTU1151,YES,BUS-04,Sector 22,WAITING,NO,PENDING,07:32 AM
2026-07-29,CTU1152,YES,BUS-04,Sector 22,WAITING,NO,PENDING,07:11 AM
2026-07-29,CTU1153,YES,BUS-04,Sector 43,WAITING,NO,PENDING,07:51 AM
2026-07-29,CTU1154,YES,BUS-04,Sector 22,PICKED UP,YES,PRESENT,07:09 AM
2026-07-29,CTU1155,YES,BUS-04,Sector 17,WAITING,NO,PENDING,07:49 AM
2026-07-29,CTU1156,YES,BUS-04,Sector 43,PICKED UP,YES,PRESENT,07:06 AM
2026-07-29,CTU1157,YES,BUS-04,Sector 22,WAITING,NO,PENDING,07:38 AM
2026-07-29,CTU1158,YES,BUS-04,Sector 22,WAITING,NO,PENDING,07:04 AM
2026-07-29,CTU1159,YES,BUS-04,Sector 43,PICKED UP,YES,PRESENT,07:00 AM
2026-07-29,CTU1160,YES,BUS-04,Sector 43,PICKED UP,YES,PRESENT,07:20 AM
2026-07-29,CTU1161,YES,BUS-04,Sector 43,WAITING,NO,PENDING,07:13 AM
2026-07-29,CTU1162,YES,BUS-04,Sector 22,PICKED UP,YES,PRESENT,07:46 AM
2026-07-29,CTU1163,YES,BUS-04,Sector 43,PICKED UP,YES,PRESENT,07:32 AM
2026-07-29,CTU1164,YES,BUS-04,Sector 17,WAITING,NO,PENDING,07:00 AM
2026-07-29,CTU1165,YES,BUS-04,Sector 17,PICKED UP,YES,PRESENT,07:04 AM
2026-07-29,CTU1166,YES,BUS-04,Sector 43,WAITING,NO,PENDING,07:56 AM
2026-07-29,CTU1167,YES,BUS-04,Sector 22,PICKED UP,YES,PRESENT,07:56 AM
2026-07-29,CTU1168,YES,BUS-04,Sector 43,PICKED UP,YES,PRESENT,07:02 AM
2026-07-29,CTU1169,YES,BUS-04,Sector 22,PICKED UP,YES,PRESENT,07:51 AM
2026-07-29,CTU1170,NO,,,NOT COMING,NO,ABSENT,07:23 AM
2026-07-29,CTU1171,YES,BUS-04,Sector 22,PICKED UP,YES,PRESENT,07:37 AM
2026-07-29,CTU1172,YES,BUS-04,Sector 22,WAITING,NO,PENDING,07:41 AM
2026-07-29,CTU1173,YES,BUS-05,Sector 43,WAITING,NO,PENDING,07:51 AM
2026-07-29,CTU1174,YES,BUS-05,Sector 34,PICKED UP,YES,PRESENT,07:37 AM
2026-07-29,CTU1175,YES,BUS-05,Sector 17,PICKED UP,YES,PRESENT,07:44 AM
2026-07-29,CTU1176,YES,BUS-05,Sector 17,PICKED UP,YES,PRESENT,07:18 AM
2026-07-29,CTU1177,YES,BUS-05,Sector 34,WAITING,NO,PENDING,07:01 AM
2026-07-29,CTU1178,YES,BUS-05,Sector 43,WAITING,NO,PENDING,07:18 AM
2026-07-29,CTU1179,YES,BUS-05,Sector 34,WAITING,NO,PENDING,07:50 AM
2026-07-29,CTU1180,NO,,,NOT COMING,NO,ABSENT,07:41 AM
2026-07-29,CTU1181,NO,,,NOT COMING,NO,ABSENT,07:09 AM
2026-07-29,CTU1182,YES,BUS-05,Sector 43,PICKED UP,YES,PRESENT,07:48 AM
2026-07-29,CTU1183,YES,BUS-05,Sector 17,PICKED UP,YES,PRESENT,07:41 AM
2026-07-29,CTU1184,YES,BUS-05,Sector 34,WAITING,NO,PENDING,07:05 AM
2026-07-29,CTU1185,YES,BUS-05,Sector 43,PICKED UP,YES,PRESENT,07:21 AM
2026-07-29,CTU1186,YES,BUS-05,Sector 43,PICKED UP,YES,PRESENT,07:36 AM
2026-07-29,CTU1187,YES,BUS-05,Sector 17,PICKED UP,YES,PRESENT,07:57 AM
2026-07-29,CTU1188,YES,BUS-05,Sector 43,PICKED UP,YES,PRESENT,07:55 AM
2026-07-29,CTU1189,YES,BUS-05,Sector 34,WAITING,NO,PENDING,07:18 AM
2026-07-29,CTU1190,YES,BUS-05,Sector 43,WAITING,NO,PENDING,07:11 AM
2026-07-29,CTU1191,YES,BUS-05,Sector 34,PICKED UP,YES,PRESENT,07:33 AM
2026-07-29,CTU1192,YES,BUS-05,Sector 17,WAITING,NO,PENDING,07:04 AM
2026-07-29,CTU1193,YES,BUS-05,Sector 43,WAITING,NO,PENDING,07:22 AM
2026-07-29,CTU1194,YES,BUS-05,Sector 43,PICKED UP,YES,PRESENT,07:06 AM
2026-07-29,CTU1195,NO,,,NOT COMING,NO,ABSENT,07:59 AM
2026-07-29,CTU1196,YES,BUS-05,Sector 43,PICKED UP,YES,PRESENT,07:26 AM
2026-07-29,CTU1197,YES,BUS-05,Sector 34,WAITING,NO,PENDING,07:20 AM
2026-07-29,CTU1198,YES,BUS-05,Sector 43,PICKED UP,YES,PRESENT,07:30 AM
2026-07-29,CTU1199,YES,BUS-05,Sector 17,WAITING,NO,PENDING,07:21 AM
2026-07-29,CTU1200,YES,BUS-05,Sector 17,WAITING,NO,PENDING,07:26 AM
2026-07-29,CTU1201,YES,BUS-05,Sector 34,PICKED UP,YES,PRESENT,07:52 AM
2026-07-29,CTU1202,YES,BUS-05,Sector 34,PICKED UP,YES,PRESENT,07:46 AM
2026-07-29,CTU1203,NO,,,NOT COMING,NO,ABSENT,07:43 AM
2026-07-29,CTU1204,YES,BUS-05,Sector 17,PICKED UP,YES,PRESENT,07:34 AM
2026-07-29,CTU1205,YES,BUS-05,Sector 43,PICKED UP,YES,PRESENT,07:46 AM
2026-07-29,CTU1206,YES,BUS-05,Sector 43,WAITING,NO,PENDING,07:04 AM
2026-07-29,CTU1207,NO,,,NOT COMING,NO,ABSENT,07:37 AM
2026-07-29,CTU1208,YES,BUS-05,Sector 43,WAITING,NO,PENDING,07:55 AM
2026-07-29,CTU1209,YES,BUS-05,Sector 34,WAITING,NO,PENDING,07:08 AM
2026-07-29,CTU1210,YES,BUS-05,Sector 34,PICKED UP,YES,PRESENT,07:20 AM
2026-07-29,CTU1211,YES,BUS-05,Sector 43,WAITING,NO,PENDING,07:30 AM
2026-07-29,CTU1212,YES,BUS-05,Sector 43,PICKED UP,YES,PRESENT,07:06 AM
2026-07-29,CTU1213,YES,BUS-05,Sector 43,PICKED UP,YES,PRESENT,07:01 AM
2026-07-29,CTU1214,YES,BUS-05,Sector 17,WAITING,NO,PENDING,07:59 AM
2026-07-29,CTU1215,YES,BUS-05,Sector 34,WAITING,NO,PENDING,07:54 AM
2026-07-29,CTU1216,YES,BUS-06,Urban Estate,WAITING,NO,PENDING,07:24 AM
2026-07-29,CTU1217,YES,BUS-06,New Bus Stand,WAITING,NO,PENDING,07:24 AM
2026-07-29,CTU1218,YES,BUS-06,Old Rajpura,PICKED UP,YES,PRESENT,07:48 AM
2026-07-29,CTU1219,YES,BUS-06,Old Rajpura,WAITING,NO,PENDING,07:35 AM
2026-07-29,CTU1220,YES,BUS-06,New Bus Stand,WAITING,NO,PENDING,07:37 AM
2026-07-29,CTU1221,YES,BUS-06,New Bus Stand,PICKED UP,YES,PRESENT,07:52 AM
2026-07-29,CTU1222,YES,BUS-06,New Bus Stand,PICKED UP,YES,PRESENT,07:51 AM
2026-07-29,CTU1223,YES,BUS-06,Old Rajpura,WAITING,NO,PENDING,07:03 AM
2026-07-29,CTU1224,YES,BUS-06,Urban Estate,WAITING,NO,PENDING,07:38 AM
2026-07-29,CTU1225,YES,BUS-06,Urban Estate,WAITING,NO,PENDING,07:56 AM
2026-07-29,CTU1226,YES,BUS-06,Old Rajpura,WAITING,NO,PENDING,07:28 AM
2026-07-29,CTU1227,YES,BUS-06,Urban Estate,PICKED UP,YES,PRESENT,07:02 AM
2026-07-29,CTU1228,YES,BUS-06,Old Rajpura,WAITING,NO,PENDING,07:27 AM
2026-07-29,CTU1229,YES,BUS-06,New Bus Stand,WAITING,NO,PENDING,07:14 AM
2026-07-29,CTU1230,NO,,,NOT COMING,NO,ABSENT,07:58 AM
2026-07-29,CTU1231,YES,BUS-06,Urban Estate,PICKED UP,YES,PRESENT,07:46 AM
2026-07-29,CTU1232,YES,BUS-06,New Bus Stand,WAITING,NO,PENDING,07:49 AM
2026-07-29,CTU1233,YES,BUS-06,New Bus Stand,PICKED UP,YES,PRESENT,07:55 AM
2026-07-29,CTU1234,YES,BUS-06,New Bus Stand,WAITING,NO,PENDING,07:03 AM
2026-07-29,CTU1235,YES,BUS-06,Old Rajpura,PICKED UP,YES,PRESENT,07:57 AM
2026-07-29,CTU1236,YES,BUS-06,Urban Estate,WAITING,NO,PENDING,07:31 AM
2026-07-29,CTU1237,YES,BUS-06,Old Rajpura,WAITING,NO,PENDING,07:51 AM
2026-07-29,CTU1238,YES,BUS-06,Urban Estate,WAITING,NO,PENDING,07:11 AM
2026-07-29,CTU1239,YES,BUS-06,Urban Estate,WAITING,NO,PENDING,07:09 AM
2026-07-29,CTU1240,YES,BUS-06,Urban Estate,PICKED UP,YES,PRESENT,07:40 AM
2026-07-29,CTU1241,YES,BUS-06,New Bus Stand,PICKED UP,YES,PRESENT,07:29 AM
2026-07-29,CTU1242,YES,BUS-06,Old Rajpura,PICKED UP,YES,PRESENT,07:39 AM
2026-07-29,CTU1243,YES,BUS-06,Urban Estate,PICKED UP,YES,PRESENT,07:24 AM
2026-07-29,CTU1244,YES,BUS-06,New Bus Stand,WAITING,NO,PENDING,07:54 AM
2026-07-29,CTU1245,YES,BUS-06,New Bus Stand,WAITING,NO,PENDING,07:31 AM
2026-07-29,CTU1246,YES,BUS-06,New Bus Stand,WAITING,NO,PENDING,07:06 AM
2026-07-29,CTU1247,YES,BUS-06,Old Rajpura,PICKED UP,YES,PRESENT,07:42 AM
2026-07-29,CTU1248,YES,BUS-06,Urban Estate,PICKED UP,YES,PRESENT,07:22 AM
2026-07-29,CTU1249,YES,BUS-06,Urban Estate,WAITING,NO,PENDING,07:20 AM
2026-07-29,CTU1250,YES,BUS-06,New Bus Stand,PICKED UP,YES,PRESENT,07:10 AM
2026-07-29,CTU1251,YES,BUS-06,New Bus Stand,PICKED UP,YES,PRESENT,07:14 AM
2026-07-29,CTU1252,YES,BUS-06,Urban Estate,PICKED UP,YES,PRESENT,07:07 AM
2026-07-29,CTU1253,YES,BUS-06,New Bus Stand,PICKED UP,YES,PRESENT,07:48 AM
2026-07-29,CTU1254,YES,BUS-06,New Bus Stand,WAITING,NO,PENDING,07:22 AM
2026-07-29,CTU1255,YES,BUS-06,New Bus Stand,PICKED UP,YES,PRESENT,07:18 AM
2026-07-29,CTU1256,YES,BUS-06,Urban Estate,WAITING,NO,PENDING,07:07 AM
2026-07-29,CTU1257,YES,BUS-06,Urban Estate,PICKED UP,YES,PRESENT,07:05 AM
2026-07-29,CTU1258,YES,BUS-06,Urban Estate,WAITING,NO,PENDING,07:23 AM
2026-07-29,CTU1259,YES,BUS-07,Model Town,PICKED UP,YES,PRESENT,07:30 AM
2026-07-29,CTU1260,YES,BUS-07,Ambala Cantt,PICKED UP,YES,PRESENT,07:07 AM
2026-07-29,CTU1261,YES,BUS-07,Model Town,WAITING,NO,PENDING,07:29 AM
2026-07-29,CTU1262,YES,BUS-07,Ambala Cantt,WAITING,NO,PENDING,07:43 AM
2026-07-29,CTU1263,YES,BUS-07,Model Town,WAITING,NO,PENDING,07:55 AM
2026-07-29,CTU1264,YES,BUS-07,Ambala Cantt,PICKED UP,YES,PRESENT,07:12 AM
2026-07-29,CTU1265,NO,,,NOT COMING,NO,ABSENT,07:56 AM
2026-07-29,CTU1266,YES,BUS-07,Model Town,PICKED UP,YES,PRESENT,07:55 AM
2026-07-29,CTU1267,YES,BUS-07,Model Town,PICKED UP,YES,PRESENT,07:52 AM
2026-07-29,CTU1268,YES,BUS-07,Model Town,WAITING,NO,PENDING,07:01 AM
2026-07-29,CTU1269,YES,BUS-07,Model Town,WAITING,NO,PENDING,07:49 AM
2026-07-29,CTU1270,YES,BUS-07,Model Town,WAITING,NO,PENDING,07:20 AM
2026-07-29,CTU1271,YES,BUS-07,Ambala City,WAITING,NO,PENDING,07:02 AM
2026-07-29,CTU1272,YES,BUS-07,Ambala City,WAITING,NO,PENDING,07:16 AM
2026-07-29,CTU1273,YES,BUS-07,Model Town,WAITING,NO,PENDING,07:45 AM
2026-07-29,CTU1274,NO,,,NOT COMING,NO,ABSENT,07:49 AM
2026-07-29,CTU1275,YES,BUS-07,Model Town,WAITING,NO,PENDING,07:34 AM
2026-07-29,CTU1276,YES,BUS-07,Model Town,WAITING,NO,PENDING,07:29 AM
2026-07-29,CTU1277,YES,BUS-07,Model Town,PICKED UP,YES,PRESENT,07:58 AM
2026-07-29,CTU1278,YES,BUS-07,Model Town,WAITING,NO,PENDING,07:56 AM
2026-07-29,CTU1279,YES,BUS-07,Ambala Cantt,WAITING,NO,PENDING,07:12 AM
2026-07-29,CTU1280,YES,BUS-07,Model Town,WAITING,NO,PENDING,07:52 AM
2026-07-29,CTU1281,YES,BUS-07,Model Town,WAITING,NO,PENDING,07:38 AM
2026-07-29,CTU1282,YES,BUS-07,Ambala City,WAITING,NO,PENDING,07:37 AM
